time,book,symbol,module,side,entry,exit,qty,notional,leverage,margin,pnl,fees,funding,bars,reason,cash_after
2026-09-02 20:00:00+00:00,D_max_leverage,TRUMP-USDT-SWAP,meanrev,long,2.177013,,270.15587739901304,588.13,25.0,23.5253,,0.1176,0.0,0,OPEN z=-3.34 bw=31pct rr=2.00,0.4705
2026-09-02 22:00:00+00:00,D_max_leverage,TRUMP-USDT-SWAP,meanrev,long,2.177013,2.15676,270.15587739901304,588.13,25.0,23.5253,-5.7628,0.409,0.0294,3,stop,18.2036
2026-09-03 11:00:00+00:00,A_conservative,TRUMP-USDT-SWAP,meanrev,long,2.210001,2.382805,27.45260308298949,60.67,7.8,7.7971,4.7112,0.0448,0.0151,22,target,111.3083
2026-09-03 11:00:00+00:00,B_aggressive,TRUMP-USDT-SWAP,meanrev,long,2.210013,2.382804,265.3193323469482,586.36,7.8,75.3566,45.5288,0.4334,0.1461,22,target,215.9218
2026-09-03 11:00:00+00:00,C_degen,TRUMP-USDT-SWAP,meanrev,long,2.210003,2.382805,52.971268111234295,117.07,7.8,15.0449,9.0905,0.0865,0.0292,22,target,24.3475
2026-09-03 11:00:00+00:00,E_optimal,TRUMP-USDT-SWAP,meanrev,long,2.210023,2.382804,472.5868099599449,1044.43,7.8,134.2258,81.0908,0.7719,0.2603,22,target,217.6236
2026-09-03 14:00:00+00:00,A_conservative,SOL-USDT-SWAP,breakout,short,99.276131,103.59034,0.5466707290758289,54.27,9.4,5.7909,-2.3868,0.0555,0.0011,44,stop,114.7126
2026-09-03 14:00:00+00:00,B_aggressive,SOL-USDT-SWAP,breakout,short,99.275682,103.590338,5.093806332501358,505.69,9.4,53.959,-22.2419,0.5167,0.0099,44,stop,247.6402
2026-09-03 14:00:00+00:00,C_degen,SOL-USDT-SWAP,breakout,short,99.27453,103.590335,16.744932452156725,1662.35,9.4,177.3781,-73.1352,1.6985,0.0326,44,stop,128.5945
2026-09-03 14:00:00+00:00,E_optimal,SOL-USDT-SWAP,breakout,short,99.27531,103.590337,8.856507211027417,879.23,9.4,93.8172,-38.6748,0.8983,0.0173,44,stop,272.7681
2026-09-03 17:00:00+00:00,A_conservative,ENA-USDT-SWAP,breakout,long,0.17352,,156.91699281353664,27.23,4.4,6.1396,,0.0136,0.0,0,OPEN donchian break er=0.65 ext=0.69atr,108.5591
2026-09-03 17:00:00+00:00,B_aggressive,ENA-USDT-SWAP,breakout,long,0.173521,,1536.977419909806,266.7,4.4,60.1364,,0.1333,0.0,0,OPEN donchian break er=0.65 ext=0.69atr,187.3677
2026-09-03 17:00:00+00:00,E_optimal,ENA-USDT-SWAP,breakout,long,0.173521,,2771.187797203837,480.86,4.4,108.4269,,0.2404,0.0,0,OPEN donchian break er=0.65 ext=0.69atr,164.0961
2026-09-03 17:00:00+00:00,D_max_leverage,ENA-USDT-SWAP,breakout,long,0.173521,,2558.7111764342717,443.99,25.0,17.7596,,0.222,0.0,0,OPEN donchian break er=0.65 ext=0.69atr,0.222
